2022-12-17 13:26:46.687232	folder path: saved/riemannian-diffusion/sphere/UniformSlice-64-0.001-100000-0-0-2.0-256-2-0-12345-0.995-100
2022-12-17 13:26:46.687432	Namespace(dataset='UniformSlice', dataroot='data', saveroot='saved', expname='sphere', print_every=100, sample_every=1000, checkpoint_every=1000, evaluate_every=5000, evaluation_K=10, num_steps=100, inference_num_steps=100, evaluation_num_steps=100, seed=12345, T0=2.0, emb_size=256, hidden_layers=2, imp=0, div=None, batch_size=64, val_batch_size=256, test_batch_size=256, lr=0.001, num_iterations=100000, sch=0, warmup_iters=0, ema_decay=0.995, mode='train')
2022-12-17 13:26:47.621523	ConcatSinMLP(
  (net): Sequential(
    (0): Linear(in_features=4, out_features=256, bias=True)
    (1): Sin()
    (2): Linear(in_features=256, out_features=256, bias=True)
    (3): Sin()
    (4): Linear(in_features=256, out_features=3, bias=True)
  )
)
2022-12-17 13:26:47.621709	cuda unavailable
2022-12-17 13:26:59.016554	Iteration 1 	loss 2.569587469100952
2022-12-17 13:27:01.240233	Iteration 100 	loss 2.4684081077575684
2022-12-17 13:27:03.471245	Iteration 200 	loss 2.397393226623535
2022-12-17 13:27:05.744561	Iteration 300 	loss 2.468341588973999
2022-12-17 13:27:08.023115	Iteration 400 	loss 2.457395076751709
2022-12-17 13:27:10.365812	Iteration 500 	loss 2.6053690910339355
2022-12-17 13:27:12.744266	Iteration 600 	loss 2.241725444793701
2022-12-17 13:27:14.953881	Iteration 700 	loss 2.3840982913970947
2022-12-17 13:27:17.178735	Iteration 800 	loss 2.2109968662261963
2022-12-17 13:27:19.464266	Iteration 900 	loss 2.365872621536255
2022-12-17 13:27:21.730336	Iteration 1000 	loss 2.420163631439209
2022-12-17 13:27:24.138962	Iteration 1100 	loss 2.3667032718658447
2022-12-17 13:27:26.420566	Iteration 1200 	loss 2.5274672508239746
2022-12-17 13:27:28.670540	Iteration 1300 	loss 2.3920867443084717
2022-12-17 13:27:30.901863	Iteration 1400 	loss 2.5608389377593994
2022-12-17 13:27:33.137771	Iteration 1500 	loss 2.5427443981170654
2022-12-17 13:27:35.645304	Iteration 1600 	loss 2.1727185249328613
2022-12-17 13:27:37.969464	Iteration 1700 	loss 2.6011691093444824
2022-12-17 13:27:40.228906	Iteration 1800 	loss 2.5384604930877686
2022-12-17 13:27:42.455935	Iteration 1900 	loss 2.389683961868286
2022-12-17 13:27:44.685728	Iteration 2000 	loss 2.166372537612915
2022-12-17 13:27:47.065756	Iteration 2100 	loss 2.4652605056762695
2022-12-17 13:27:49.309401	Iteration 2200 	loss 2.4446489810943604
2022-12-17 13:27:51.553597	Iteration 2300 	loss 2.34993314743042
2022-12-17 13:27:53.836234	Iteration 2400 	loss 2.422844171524048
2022-12-17 13:27:56.594768	Iteration 2500 	loss 2.2943010330200195
2022-12-17 13:27:58.949424	Iteration 2600 	loss 2.565243721008301
2022-12-17 13:28:01.198489	Iteration 2700 	loss 2.584591865539551
2022-12-17 13:28:03.558794	Iteration 2800 	loss 2.3173117637634277
2022-12-17 13:28:05.898818	Iteration 2900 	loss 2.338813066482544
2022-12-17 13:28:08.097962	Iteration 3000 	loss 2.383972406387329
2022-12-17 13:28:10.448537	Iteration 3100 	loss 2.180671453475952
2022-12-17 13:28:12.654959	Iteration 3200 	loss 2.437669515609741
